ID_WEB;ID_JDN;CODEMAG;DATE_ASPI;URLPRODUIT
81454-73257;1443264;236;20170201;https://www.jardiland.com/maison-deco/beaute-bien-tre/cosmetiques/savon/81454-savon-pur-vegetal.html
32894-9918;1319695;236;20170201;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/confiserie/32894-tablette-de-chocolat.html
32856-41486;885280;236;20170201;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/a-reserve-d-eau/resine/32856-pot-cubico-cottage.html
81701-73700;1014357;236;20170201;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/a-reserve-d-eau/fibre/81701-pot-claire.html
82179-73699;1014341;236;20170201;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/cache-pot-simple/pot-special-orchidee-et-accessoires/82179-pot-orchidee-d13-h14-1.html
32869-10403;1359856;236;20170201;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/cache-pot-simple/ceramique/32869-cache-pot-rond-en-plastique-brussels-diamant.html
83481-79434;1486027;236;20170201;https://www.jardiland.com/maison-deco/objets-de-decoration/bougies-et-senteurs/parfum-d-ambiance-diffuseur-a-froid/83481-coffret-de-6-capsules-de-cire.html
83481-79433;1486028;236;20170201;https://www.jardiland.com/maison-deco/objets-de-decoration/bougies-et-senteurs/parfum-d-ambiance-diffuseur-a-froid/83481-coffret-de-6-capsules-de-cire.html
83481-79432;1486029;236;20170201;https://www.jardiland.com/maison-deco/objets-de-decoration/bougies-et-senteurs/parfum-d-ambiance-diffuseur-a-froid/83481-coffret-de-6-capsules-de-cire.html
83481-79389;1486024;236;20170201;https://www.jardiland.com/maison-deco/objets-de-decoration/bougies-et-senteurs/parfum-d-ambiance-diffuseur-a-froid/83481-coffret-de-6-capsules-de-cire.html
83481-79374;1486026;236;20170201;https://www.jardiland.com/maison-deco/objets-de-decoration/bougies-et-senteurs/parfum-d-ambiance-diffuseur-a-froid/83481-coffret-de-6-capsules-de-cire.html
81456-73533;1236393;236;20170201;https://www.jardiland.com/maison-deco/objets-de-decoration/bougies-et-senteurs/parfum-pour-le-linge/81456-brume-d-oreiller.html
81353-72910;1449244;236;20170201;https://www.jardiland.com/maison-deco/objets-de-decoration/bougies-et-senteurs/bougie-parfumee/81353-bougie-serviette-moelleuse.html
81256-72917;1449184;236;20170201;https://www.jardiland.com/maison-deco/objets-de-decoration/bougies-et-senteurs/bougie-parfumee/81256-bougie-marshmallow-grilles.html
81256-72916;1449185;236;20170201;https://www.jardiland.com/maison-deco/objets-de-decoration/bougies-et-senteurs/bougie-parfumee/81256-bougie-marshmallow-grilles.html
81455-72915;1449163;236;20170201;https://www.jardiland.com/maison-deco/objets-de-decoration/bougies-et-senteurs/bougie-parfumee/81455-bougie-lueur-hivernale.html
81172-72949;1449105;236;20170201;https://www.jardiland.com/maison-deco/objets-de-decoration/bougies-et-senteurs/bougie-parfumee/81172-bougie-framboise-rouge.html
81381-73548;1236516;236;20170201;https://www.jardiland.com/maison-deco/objets-de-decoration/bougies-et-senteurs/bougie-parfumee/81381-bougie-boite-alu.html
32316-28613;918052;236;20170201;https://www.jardiland.com/animaux/oiseau-de-la-nature/alimentation/32316-pain-de-graisse.html
57743-62880;1398661;236;20170201;https://www.jardiland.com/animaux/oiseau-de-la-nature/mangeoire-et-distributeur/57743-distributeur-de-graines-flip-top.html
81789-77585;737348;236;20170201;https://www.jardiland.com/animaux/reptiles-et-insectes/alimentation/boite-et-lyophilisee/81789-nourriture-sauterelles-sauvages.html
32291-30358;972176;236;20170201;https://www.jardiland.com/animaux/oiseau/cages-volieres-et-accessoires/cage/32291-pied-de-cage-toledo.html
81657-75652;1483563;236;20170201;https://www.jardiland.com/animaux/oiseau/alimentation-et-friandises/friandise/81657-crunchy-cake-oiseau-x6-1.html
81657-75651;1483564;236;20170201;https://www.jardiland.com/animaux/oiseau/alimentation-et-friandises/friandise/81657-crunchy-cake-oiseau-x6-1.html
32460-15344;544425;236;20170201;https://www.jardiland.com/animaux/poisson/entretien-et-soins/produit-pour-poisson/32460-tetra-general-tonic.html
32460-15342;544419;236;20170201;https://www.jardiland.com/animaux/poisson/entretien-et-soins/produit-pour-poisson/32460-tetra-general-tonic.html
81621-73025;1457276;236;20170201;https://www.jardiland.com/animaux/poisson/materiel-chauffage-filtres-et-pompes/aeration/81621-new-rena-air.html
82830-75470;1481079;236;20170201;https://www.jardiland.com/animaux/poisson/materiel-chauffage-filtres-et-pompes/filtre-exterieur/82830-jard-tuyau-predecoupe-2-5m.html
82766-74970;1473541;236;20170201;https://www.jardiland.com/animaux/poisson/materiel-chauffage-filtres-et-pompes/nettoyage-aquarium/82766-jard-epuisette-maille-fine.html
82766-74969;1473543;236;20170201;https://www.jardiland.com/animaux/poisson/materiel-chauffage-filtres-et-pompes/nettoyage-aquarium/82766-jard-epuisette-maille-fine.html
82481-75892;1475829;236;20170201;https://www.jardiland.com/animaux/poisson/materiel-chauffage-filtres-et-pompes/aeration/82481-jard-diffuseur-d-air-3cm.html
82481-75886;1475828;236;20170201;https://www.jardiland.com/animaux/poisson/materiel-chauffage-filtres-et-pompes/aeration/82481-jard-diffuseur-d-air-3cm.html
53248-53160;543688;236;20170201;https://www.jardiland.com/animaux/poisson/materiel-chauffage-filtres-et-pompes/masse-de-filtration/53248-ehfikarbon.html
32472-29868;957335;236;20170201;https://www.jardiland.com/animaux/poisson/materiel-chauffage-filtres-et-pompes/aeration/32472-diffuseur-d-air-barre.html
32472-29572;957333;236;20170201;https://www.jardiland.com/animaux/poisson/materiel-chauffage-filtres-et-pompes/aeration/32472-diffuseur-d-air-barre.html
81339-72806;1453027;236;20170201;https://www.jardiland.com/animaux/poisson/decoration-pour-aquarium/sable-et-autres-graviers/81339-quartz-fluo-pour-aquarium-1-kg.html
81339-72805;1453026;236;20170201;https://www.jardiland.com/animaux/poisson/decoration-pour-aquarium/sable-et-autres-graviers/81339-quartz-fluo-pour-aquarium-1-kg.html
81339-72804;1453023;236;20170201;https://www.jardiland.com/animaux/poisson/decoration-pour-aquarium/sable-et-autres-graviers/81339-quartz-fluo-pour-aquarium-1-kg.html
81339-72801;1453025;236;20170201;https://www.jardiland.com/animaux/poisson/decoration-pour-aquarium/sable-et-autres-graviers/81339-quartz-fluo-pour-aquarium-1-kg.html
81331-72803;1453015;236;20170201;https://www.jardiland.com/animaux/poisson/decoration-pour-aquarium/sable-et-autres-graviers/81331-jard-quartz-deco-1kg.html
50792-41431;543362;236;20170201;https://www.jardiland.com/animaux/poisson/aquariums/meuble-pour-aquarium/50792-meuble-rio-300-1.html
31833-9810;1315053;236;20170201;https://www.jardiland.com/animaux/chat/soins-antiparasitaires/insecticide/31833-advantage-40-pour-chat.html
31802-15210;542908;236;20170201;https://www.jardiland.com/animaux/chat/colliers-laisses-et-harnais/laisse/31802-laisse-pour-chat-tete-de-chat.html
81826-76502;1465563;236;20170201;https://www.jardiland.com/animaux/chat/colliers-laisses-et-harnais/laisse/81826-laisse-chat-ladycat-1m.html
81826-76501;1465562;236;20170201;https://www.jardiland.com/animaux/chat/colliers-laisses-et-harnais/laisse/81826-laisse-chat-ladycat-1m.html
81826-76500;1465561;236;20170201;https://www.jardiland.com/animaux/chat/colliers-laisses-et-harnais/laisse/81826-laisse-chat-ladycat-1m.html
