ID_WEB;ID_JDN;CODEMAG;DATE_ASPI;URLPRODUIT
56798-56798;1436694;79;20170112;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/chocolat/56798-sucette-renne-lait.html
448-448;1235295;79;20170112;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/biscuit/448-preparation-pour-sables-pomme-caramel.html
1924-1924;1328892;79;20170112;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/chocolat/1924-preparation-pour-boisson-cacaotee-en-poudre.html
3813-3813;558401;79;20170112;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/confiserie/3813-pastilles-du-bassin-de-vichy.html
5066-5066;703029;79;20170112;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/miel-et-derive/5066-miel-de-fleurs-cremeux.html
1713-1713;1328920;79;20170112;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/chocolat/1713-grains-de-cafe-enrobes-de-chocolat-au-lait.html
4822-4822;821384;79;20170112;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/confiserie/4822-feves-assorties.html
1923-1923;1328889;79;20170112;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/chocolat/1923-boite-de-chocolat-au-caramel.html
59668-59668;1465331;79;20170112;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/chocolat/59668-billes-de-cereales-aux-3-chocolats-mug.html
54570-54570;1436689;79;20170112;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/confiserie/54570-ballotin-quartiers-d-orange-enrobage-chocolat.html
54525-54525;1456726;79;20170112;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/chocolat/54525-assortiments-d-amandises.html
1925-1925;1328896;79;20170112;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/chocolat/1925-amandes-enrobees-de-chocolat-au-lait.html
41106-41106;1426665;79;20170112;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-salee/coffret-sale/41106-presentoir-duo-gourmand.html
32886-29449;942926;79;20170112;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-salee/aperitif/32886-pan-tostado.html
48249-57515;1398646;79;20170112;https://www.jardiland.com/maison-deco/art-de-la-table/vaisselle/tasse-bol-et-mug/48249-mug-juliet.html
52651-52651;1438777;79;20170112;https://www.jardiland.com/maison-deco/art-de-la-table/vaisselle/tasse-bol-et-mug/52651-coffret-dejeuner-blooming-noir.html
46121-44835;1389873;79;20170112;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/a-reserve-d-eau/resine/46121-pot-puro-kit-complet.html
