ID_WEB;ID_JDN;CODEMAG;DATE_ASPI;URLPRODUIT
2236-2236;1367544;61;20170111;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/biscuit/2236-sables-gourmands-cramberies.html
54705-54705;558385;61;20170111;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/confiserie/54705-perles-miel-gelee.html
5066-5066;703029;61;20170111;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/miel-et-derive/5066-miel-de-fleurs-cremeux.html
3551-3551;547112;61;20170111;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/miel-et-derive/3551-gelee-royale-pure.html
54707-54707;547010;61;20170111;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/biscuit/54707-galettes-au-miel.html
4822-4822;821384;61;20170111;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/confiserie/4822-feves-assorties.html
2486-2486;1386322;61;20170111;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/confiserie/2486-duos-fruites.html
48919-48829;547068;61;20170111;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/confiture/48919-confiture.html
54587-54587;1436103;61;20170111;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/miel-et-derive/54587-coffret-decouverte-5-verrines-de-miel.html
440-440;1233866;61;20170111;https://www.jardiland.com/maison-deco/art-de-la-table/vaisselle/vaisselle-decoree/440-ramequin-en-verre-decore-o-11-cm.html
48249-57515;1398646;61;20170111;https://www.jardiland.com/maison-deco/art-de-la-table/vaisselle/tasse-bol-et-mug/48249-mug-juliet.html
46129-48707;1307261;61;20170111;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/a-reserve-d-eau/resine/46129-pot-lechuza-puro-color-kit-complet.html
32847-12606;1391890;61;20170111;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/a-reserve-d-eau/plastique/32847-bac-a-reserve-d-eau-papyrus.html
36821-36821;1306250;61;20170111;https://www.jardiland.com/maison-deco/hygiene-de-la-maison/36821-pierre-multi-usages-blanche.html
52864-52864;1327019;61;20170111;https://www.jardiland.com/maison-deco/mobilier-d-interieur/52864-table-grand-modele-vito.html
3380-3380;1415152;61;20170111;https://www.jardiland.com/maison-deco/mobilier-d-interieur/3380-table-d-appoint-ronde-jamie-o-32-cm.html
2676-2676;1415150;61;20170111;https://www.jardiland.com/maison-deco/mobilier-d-interieur/2676-table-d-appoint-ronde-jamie-o-22-cm.html
36830-36830;1432352;61;20170111;https://www.jardiland.com/maison-deco/mobilier-d-interieur/36830-table-2-tabouret-en-mosaique-vert-loren.html
36829-36829;1432350;61;20170111;https://www.jardiland.com/maison-deco/mobilier-d-interieur/36829-table-2-tabouret-en-mosaique-et-metal-loren-gris.html
60122-60122;1455425;61;20170111;https://www.jardiland.com/maison-deco/mobilier-d-interieur/60122-porte-plante-basse-frederike-h-44-cm-metal.html
60121-60121;1455426;61;20170111;https://www.jardiland.com/maison-deco/mobilier-d-interieur/60121-porte-plante-basse-frederike-h-51-cm-metal.html
56724-56724;1455419;61;20170111;https://www.jardiland.com/maison-deco/mobilier-d-interieur/56724-etagere-capri-43-x-32-x-140-cm-metal.html
3281-3281;1410291;61;20170111;https://www.jardiland.com/maison-deco/objets-de-decoration/autres-objets-de-decoration/autres-objets-de-decoration/3281-pot-pourri-mix.html
3278-3278;1410288;61;20170111;https://www.jardiland.com/maison-deco/objets-de-decoration/autres-objets-de-decoration/autres-objets-de-decoration/3278-photophore-porte-bougie-feuille-h-69-cm.html
3304-3304;1414076;61;20170111;https://www.jardiland.com/maison-deco/objets-de-decoration/autres-objets-de-decoration/autres-objets-de-decoration/3304-ourson-en-peluche-en-combinaison-rose.html
