ID_WEB;ID_JDN;CODEMAG;DATE_ASPI;URLPRODUIT
32855-41234;1018720;238;20170201;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/a-reserve-d-eau/resine/32855-jardiniere-balconera-cottage-50-1.html
32862-8098;1263348;238;20170201;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/cache-pot-simple/cache-pot-aimante/32862-pot-aimante-pyramide-kalamitica.html
31833-9810;1315053;238;20170201;https://www.jardiland.com/animaux/chat/soins-antiparasitaires/insecticide/31833-advantage-40-pour-chat.html
82587-73379;1245601;238;20170201;https://www.jardiland.com/animaux/chat/colliers-laisses-et-harnais/harnais/82587-harnais-chat-basic-line-nylon.html
82585-81156;970136;238;20170201;https://www.jardiland.com/animaux/chat/colliers-laisses-et-harnais/collier/82585-collier-chat-fantaisie.html
31828-12877;1398775;238;20170201;https://www.jardiland.com/animaux/chat/hygiene-soins-et-litieres/soin-de-toilettage/31828-ciseaux-coupe-griffe.html
31695-8729;1284846;238;20170201;https://www.jardiland.com/animaux/chat/alimentation-et-friandises/boite-et-sachet-fraicheur/31695-royal-canin-wet-sterilised.html
32133-9868;1318331;238;20170201;https://www.jardiland.com/animaux/chien/gamelles-ecuelles-et-distributeurs/distributeur-d-eau-et-croquette/32133-distributeur-d-eau.html
52463-52183;1209401;238;20170201;https://www.jardiland.com/animaux/chien/alimentation-et-friandises/os-a-macher/52463-os-presse.html
81479-81018;977655;238;20170201;https://www.jardiland.com/amenagement-du-jardin/pots-bacs-jardinieres-et-supports/en-email/81479-soucoupe-deco.html
81479-80926;972822;238;20170201;https://www.jardiland.com/amenagement-du-jardin/pots-bacs-jardinieres-et-supports/en-email/81479-soucoupe-deco.html
81479-80903;972797;238;20170201;https://www.jardiland.com/amenagement-du-jardin/pots-bacs-jardinieres-et-supports/en-email/81479-soucoupe-deco.html
81479-78332;900048;238;20170201;https://www.jardiland.com/amenagement-du-jardin/pots-bacs-jardinieres-et-supports/en-email/81479-soucoupe-deco.html
81479-77956;661614;238;20170201;https://www.jardiland.com/amenagement-du-jardin/pots-bacs-jardinieres-et-supports/en-email/81479-soucoupe-deco.html
81479-77955;661619;238;20170201;https://www.jardiland.com/amenagement-du-jardin/pots-bacs-jardinieres-et-supports/en-email/81479-soucoupe-deco.html
81479-73958;1209167;238;20170201;https://www.jardiland.com/amenagement-du-jardin/pots-bacs-jardinieres-et-supports/en-email/81479-soucoupe-deco.html
81481-80796;923280;238;20170201;https://www.jardiland.com/amenagement-du-jardin/pots-bacs-jardinieres-et-supports/en-email/81481-caluna-deco-perce.html
31523-11032;1360442;238;20170201;https://www.jardiland.com/amenagement-du-jardin/pots-bacs-jardinieres-et-supports/en-plastique/31523-soucoupe-en-plastique-prisca.html
31554-8790;1285500;238;20170201;https://www.jardiland.com/amenagement-du-jardin/pots-bacs-jardinieres-et-supports/en-plastique/31554-bac-en-plastique-landhaus.html
