ID_WEB;ID_JDN;CODEMAG;DATE_ASPI;URLPRODUIT
5793-5793;970819;162;20170121;https://www.jardiland.com/maison-deco/art-de-la-table/conserves-et-bocaux/accessoires/5793-moulin-a-coulis.html
52809-52809;1383687;162;20170121;https://www.jardiland.com/maison-deco/art-de-la-table/vaisselle/plat-de-service/52809-set-de-table-poule-et-oeuf.html
56825-56825;1339037;162;20170121;https://www.jardiland.com/maison-deco/art-de-la-table/vaisselle/plat-de-service/56825-plateau-classic-berries.html
52813-52813;1383651;162;20170121;https://www.jardiland.com/maison-deco/art-de-la-table/vaisselle/plat-de-service/52813-plat-a-cake-poule-paille.html
2649-2649;1395892;162;20170121;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/cache-pot-simple/contenant-en-metal/2649-jardiniere-en-zinc-le-40-cm.html
59720-59720;1212329;162;20170121;https://www.jardiland.com/maison-deco/librairie-papeterie/librairie/livre-jardin/59720-un-petit-potager-qui-vaut-le-coup.html
59678-59678;1459155;162;20170121;https://www.jardiland.com/maison-deco/librairie-papeterie/librairie/livre-cuisine-et-vin/59678-soupes-des-4-saisons.html
3388-3388;1424093;162;20170121;https://www.jardiland.com/maison-deco/librairie-papeterie/librairie/livre-cuisine-et-vin/3388-livre-super-plancha.html
4923-4923;791000;162;20170121;https://www.jardiland.com/maison-deco/cheminee/accessoires-de-cheminee/accessoires/4923-poele-a-marrons.html
4940-4940;855371;162;20170121;https://www.jardiland.com/maison-deco/cheminee/accessoires-de-cheminee/pare-feu/4940-pare-feu-carre-a-bord-rond-la-64-x-ha-50-cm.html
52707-52707;1432929;162;20170121;https://www.jardiland.com/maison-deco/mobilier-d-interieur/52707-chaise-provence-vert.html
52695-52695;1432945;162;20170121;https://www.jardiland.com/maison-deco/objets-de-decoration/autres-objets-de-decoration/plateau-et-serviteur/52695-sous-plateau-blanc.html
1123-1123;1255805;162;20170121;https://www.jardiland.com/maison-deco/objets-de-decoration/autres-objets-de-decoration/autres-objets-de-decoration/1123-sac-de-transport-miaou-mobile.html
31327-12268;1394829;162;20170121;https://www.jardiland.com/maison-deco/objets-de-decoration/autres-objets-de-decoration/fruit-et-legume-artificiel/31327-galette-d-assise.html
1379-1379;1292700;162;20170121;https://www.jardiland.com/maison-deco/objets-de-decoration/cadres-tableaux-et-stickers/cadre-et-tableau/1379-tableau-cerise.html
36840-36840;1333821;162;20170121;https://www.jardiland.com/maison-deco/objets-de-decoration/figurines-et-peluches/peluche/36840-lapin-en-peluche-h-30-cm.html
51073-51073;1387316;162;20170121;https://www.jardiland.com/maison-deco/objets-de-decoration/rangement-boites-et-paniers/boite-fantaisie/51073-porte-cartes-folk-collectionneuse-rose-violet.html
58554-58554;1453602;162;20170121;https://www.jardiland.com/maison-deco/objets-de-decoration/coussins-et-plaids/plaid/58554-plaid-gris-en-fourrure-synthetique.html
1819-1819;1385244;162;20170121;https://www.jardiland.com/maison-deco/objets-de-decoration/coussins-et-plaids/plaid/1819-plaid-creme.html
3442-3442;1434253;162;20170121;https://www.jardiland.com/maison-deco/objets-de-decoration/plantes-artificielles/tige-fleurie/3442-viburnum-vert-fonce-artificiel.html
3441-3441;1434251;162;20170121;https://www.jardiland.com/maison-deco/objets-de-decoration/plantes-artificielles/tige-fleurie/3441-herbe-graminee-boule-vert-artificielle.html
52672-52672;1432973;162;20170121;https://www.jardiland.com/maison-deco/objets-de-decoration/vases-coupes-et-accessoires/pot-et-coupe/52672-pot-rond-gemmes-20-5-cm.html
52699-52699;1432941;162;20170121;https://www.jardiland.com/maison-deco/objets-de-decoration/vases-coupes-et-accessoires/pot-et-coupe/52699-pot-rond-blanc-11-cm.html
32918-9936;1320689;162;20170121;https://www.jardiland.com/maison-deco/objets-de-decoration/bougies-et-senteurs/parfum-d-ambiance-diffuseur-a-froid/32918-parfum-goatier-cocoon.html
32916-10309;1345623;162;20170121;https://www.jardiland.com/maison-deco/objets-de-decoration/bougies-et-senteurs/diffuseur-de-parfum-et-recharge/32916-lampe-berger-sweet-bubble.html
32901-24625;793304;162;20170121;https://www.jardiland.com/maison-deco/objets-de-decoration/bougies-et-senteurs/bougie-non-parfumee/32901-bougie-cylindre-o10-cm.html
52717-52717;1432919;162;20170121;https://www.jardiland.com/maison-deco/objets-de-decoration/bougeoirs-photophores-et-lanternes/lanterne/52717-photophore-jaune.html
58541-58541;1453827;162;20170121;https://www.jardiland.com/maison-deco/objets-de-decoration/bougeoirs-photophores-et-lanternes/bougeoir-et-photophore-deco/58541-photophore-gris-en-metal-10-10-20-cm.html
5760-5760;957354;162;20170121;https://www.jardiland.com/animaux/poisson/materiel-chauffage-filtres-et-pompes/aeration/5760-repartiteur-2-sorties-x2-1.html
105-105;1014903;162;20170121;https://www.jardiland.com/animaux/poisson/materiel-chauffage-filtres-et-pompes/autres-accessoires/105-jbl-artemioset.html
590-590;1251148;162;20170121;https://www.jardiland.com/animaux/poisson/materiel-chauffage-filtres-et-pompes/filtre-exterieur/590-filtre-exterieur-rena-nexx.html
32536-29890;957388;162;20170121;https://www.jardiland.com/animaux/poisson/materiel-chauffage-filtres-et-pompes/nettoyage-aquarium/32536-epuisette-maille-fine.html
32536-29889;957387;162;20170121;https://www.jardiland.com/animaux/poisson/materiel-chauffage-filtres-et-pompes/nettoyage-aquarium/32536-epuisette-maille-fine.html
32472-29868;957335;162;20170121;https://www.jardiland.com/animaux/poisson/materiel-chauffage-filtres-et-pompes/aeration/32472-diffuseur-d-air-barre.html
32432-27123;867706;162;20170121;https://www.jardiland.com/animaux/poisson/decoration-pour-aquarium/sable-et-autres-graviers/32432-quartz-3-litres.html
32432-27122;867705;162;20170121;https://www.jardiland.com/animaux/poisson/decoration-pour-aquarium/sable-et-autres-graviers/32432-quartz-3-litres.html
48910-55250;1470946;162;20170121;https://www.jardiland.com/animaux/poisson/aquariums/aquarium-pour-poisson-d-eau-froide/48910-aquarium-nanolife-tendance-30-1.html
32378-9354;1295298;162;20170121;https://www.jardiland.com/animaux/poisson/aquariums/aquarium-decoratif/32378-aquarium-betta-life.html
32365-8136;1256395;162;20170121;https://www.jardiland.com/animaux/poisson/alimentation/pour-poisson-d-eau-froide/32365-api-japan-goldfish-granules.html
509-509;1244217;162;20170121;https://www.jardiland.com/animaux/chat/colliers-laisses-et-harnais/collier/509-collier-pour-chat-seventies.html
