ID_WEB;ID_JDN;CODEMAG;DATE_ASPI;URLPRODUIT
32896-15382;547088;241;20170201;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/confiture/32896-marmelade.html
32866-8095;1263342;241;20170201;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/cache-pot-simple/cache-pot-aimante/32866-pot-aimante-cube-kalamitica.html
43349-42955;657155;241;20170201;https://www.jardiland.com/animaux/oiseau/alimentation-et-friandises/alimentation-quotidienne/43349-menu-grandes-perruches-sac-fraicheur.html
43349-42954;657151;241;20170201;https://www.jardiland.com/animaux/oiseau/alimentation-et-friandises/alimentation-quotidienne/43349-menu-grandes-perruches-sac-fraicheur.html
32531-15318;543748;241;20170201;https://www.jardiland.com/animaux/poisson/materiel-chauffage-filtres-et-pompes/masse-de-filtration/32531-charbon-de-filtration-actikool.html
81339-72810;1453022;241;20170201;https://www.jardiland.com/animaux/poisson/decoration-pour-aquarium/sable-et-autres-graviers/81339-quartz-fluo-pour-aquarium-1-kg.html
81339-72806;1453027;241;20170201;https://www.jardiland.com/animaux/poisson/decoration-pour-aquarium/sable-et-autres-graviers/81339-quartz-fluo-pour-aquarium-1-kg.html
81339-72805;1453026;241;20170201;https://www.jardiland.com/animaux/poisson/decoration-pour-aquarium/sable-et-autres-graviers/81339-quartz-fluo-pour-aquarium-1-kg.html
81339-72804;1453023;241;20170201;https://www.jardiland.com/animaux/poisson/decoration-pour-aquarium/sable-et-autres-graviers/81339-quartz-fluo-pour-aquarium-1-kg.html
81339-72801;1453025;241;20170201;https://www.jardiland.com/animaux/poisson/decoration-pour-aquarium/sable-et-autres-graviers/81339-quartz-fluo-pour-aquarium-1-kg.html
32226-10623;1350483;241;20170201;https://www.jardiland.com/animaux/chien/niches-couchage-et-transport/coussin-et-matelas/32226-coussin-plat-feria-fushia.html
31887-41499;966231;241;20170201;https://www.jardiland.com/animaux/chien/alimentation-et-friandises/croquette-pour-chien/31887-science-plan-adult-light.html
31928-8034;1252661;241;20170201;https://www.jardiland.com/animaux/chien/alimentation-et-friandises/croquette-pour-chien/31928-royal-canin-mini-light.html
31858-31030;996558;241;20170201;https://www.jardiland.com/animaux/chien/alimentation-et-friandises/croquette-pour-chien/31858-proplan-dog-puppy-large-athletique-agneau.html
31429-12820;1404870;241;20170201;https://www.jardiland.com/amenagement-du-jardin/pots-bacs-jardinieres-et-supports/en-email/31429-vase-a-rebord-en-email.html
31473-8968;1293276;241;20170201;https://www.jardiland.com/amenagement-du-jardin/pots-bacs-jardinieres-et-supports/en-email/31473-boule-en-email-lisse.html
31523-11032;1360442;241;20170201;https://www.jardiland.com/amenagement-du-jardin/pots-bacs-jardinieres-et-supports/en-plastique/31523-soucoupe-en-plastique-prisca.html
81417-72788;1379416;241;20170201;https://www.jardiland.com/jardinage/entretien-et-traitements/desherbants/autres-desherbants/81417-devitalisant-de-souches.html
82724-74482;1312758;241;20170201;https://www.jardiland.com/jardinage/entretien-et-traitements/desherbants/desherbant-total/82724-desherbant-radicalr.html
82678-72902;1444428;241;20170201;https://www.jardiland.com/jardinage/entretien-et-traitements/engrais/engrais-pour-gazon/82678-engrais-gazon.html
84826-77587;735476;241;20170201;https://www.jardiland.com/plantes/plantes-d-interieur/plantes-vertes/tradescantia/84826-tradescantia-violet-hill.html
82345-79272;1500226;241;20170201;https://www.jardiland.com/plantes/plantes-d-interieur/plantes-vertes/autres-plantes-vertes/82345-plante-verte-mixte.html
82345-78911;1487912;241;20170201;https://www.jardiland.com/plantes/plantes-d-interieur/plantes-vertes/autres-plantes-vertes/82345-plante-verte-mixte.html
84721-78715;632324;241;20170201;https://www.jardiland.com/plantes/plantes-d-interieur/plantes-fleuries/epiphyllum-schlumbergera-rhipsalis/84721-schlumbergera.html
35752-79263;1500248;241;20170201;https://www.jardiland.com/plantes/plantes-d-interieur/plantes-fleuries/azalee/35752-azalee-d-interieur.html
40715-38046;1312768;241;20170201;https://www.jardiland.com/plantes/graines-et-gazon/gazon-et-prairies-fleuries/autres-gazons/40715-pelouse-ecodurable.html
40715-37990;1312767;241;20170201;https://www.jardiland.com/plantes/graines-et-gazon/gazon-et-prairies-fleuries/autres-gazons/40715-pelouse-ecodurable.html
40719-37699;1014048;241;20170201;https://www.jardiland.com/plantes/graines-et-gazon/gazon-et-prairies-fleuries/gazon-de-reparation-et-regarnissage/40719-gazon-regarnissage-terrains-secs.html
41941-26868;864947;241;20170201;https://www.jardiland.com/plantes/bulbes-et-pommes-de-terre/pommes-de-terre-et-tubercules/pommes-de-terre/41941-pomme-de-terre-desiree-clayette.html
41907-27066;866489;241;20170201;https://www.jardiland.com/plantes/bulbes-et-pommes-de-terre/pommes-de-terre-et-tubercules/pommes-de-terre/41907-pomme-de-terre-charlotte-sac.html
41907-24882;807934;241;20170201;https://www.jardiland.com/plantes/bulbes-et-pommes-de-terre/pommes-de-terre-et-tubercules/pommes-de-terre/41907-pomme-de-terre-charlotte-sac.html
41920-24896;808250;241;20170201;https://www.jardiland.com/plantes/bulbes-et-pommes-de-terre/pommes-de-terre-et-tubercules/pommes-de-terre/41920-pomme-de-terre-amandine-clayette.html
41916-24824;806830;241;20170201;https://www.jardiland.com/plantes/bulbes-et-pommes-de-terre/pommes-de-terre-et-tubercules/pommes-de-terre/41916-pomme-de-terre-agata-clayette.html
36563-23891;726509;241;20170201;https://www.jardiland.com/plantes/potager-et-verger/fruitiers/vigne/36563-vigne-muscat-blanc.html
36508-11596;1370224;241;20170201;https://www.jardiland.com/plantes/potager-et-verger/fruitiers/mure/36508-mure-smoothstem.html
36503-11348;1369426;241;20170201;https://www.jardiland.com/plantes/potager-et-verger/fruitiers/mure/36503-mure-dirksen-thornless.html
36416-16330;583017;241;20170201;https://www.jardiland.com/plantes/potager-et-verger/fruitiers/cassissier/36416-cassissier-andega.html
36412-16307;583007;241;20170201;https://www.jardiland.com/plantes/potager-et-verger/fruitiers/caseille/36412-caseille-josta.html
