ID_WEB;ID_JDN;CODEMAG;DATE_ASPI;URLPRODUIT
67598-67598;1477637;228;20170131;https://www.jardiland.com/maison-deco/beaute-bien-tre/accessoires/coffret/67598-duo-mini-bqt-brins-noir-rose-orange-can.html
81454-78269;857156;228;20170131;https://www.jardiland.com/maison-deco/beaute-bien-tre/cosmetiques/savon/81454-savon-pur-vegetal.html
81454-78267;857153;228;20170131;https://www.jardiland.com/maison-deco/beaute-bien-tre/cosmetiques/savon/81454-savon-pur-vegetal.html
81454-78265;857160;228;20170131;https://www.jardiland.com/maison-deco/beaute-bien-tre/cosmetiques/savon/81454-savon-pur-vegetal.html
81454-78259;857144;228;20170131;https://www.jardiland.com/maison-deco/beaute-bien-tre/cosmetiques/savon/81454-savon-pur-vegetal.html
81454-73257;1443264;228;20170131;https://www.jardiland.com/maison-deco/beaute-bien-tre/cosmetiques/savon/81454-savon-pur-vegetal.html
69661-69661;1432067;228;20170131;https://www.jardiland.com/maison-deco/art-de-la-table/linge-de-table/set-de-table/69661-set-de-table-uni-vert-33x48cm.html
69659-69659;1432069;228;20170131;https://www.jardiland.com/maison-deco/art-de-la-table/linge-de-table/set-de-table/69659-set-de-table-uni-taupe-33x48cm.html
69676-69676;1432052;228;20170131;https://www.jardiland.com/maison-deco/art-de-la-table/linge-de-table/set-de-table/69676-set-de-table-orange-33x48cm.html
69677-69677;1432051;228;20170131;https://www.jardiland.com/maison-deco/art-de-la-table/linge-de-table/set-de-table/69677-set-de-table-gris-33x48cm.html
69663-69663;1432065;228;20170131;https://www.jardiland.com/maison-deco/art-de-la-table/linge-de-table/chemin-de-table/69663-chemin-de-table-uni-orange-40x140cm.html
69679-69679;1432049;228;20170131;https://www.jardiland.com/maison-deco/art-de-la-table/linge-de-table/chemin-de-table/69679-chemin-de-table-gris-40x140cm.html
53773-53773;1356669;228;20170131;https://www.jardiland.com/maison-deco/art-de-la-table/vaisselle/assiette/53773-assiette-tonya-d21cm.html
81305-72824;1454268;228;20170131;https://www.jardiland.com/maison-deco/art-de-la-table/vaisselle/assiette/81305-assiette-plate-piko-d27cm.html
81302-72825;1454271;228;20170131;https://www.jardiland.com/maison-deco/art-de-la-table/vaisselle/assiette/81302-assiette-dessert-piko-d21cm.html
82030-74221;1293870;228;20170131;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/a-reserve-d-eau/fibre/82030-pot-trio-claire-d26-h14-1.html
82030-74219;1293867;228;20170131;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/a-reserve-d-eau/fibre/82030-pot-trio-claire-d26-h14-1.html
82030-74218;1293866;228;20170131;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/a-reserve-d-eau/fibre/82030-pot-trio-claire-d26-h14-1.html
82030-74217;1293865;228;20170131;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/a-reserve-d-eau/fibre/82030-pot-trio-claire-d26-h14-1.html
82030-74216;1293864;228;20170131;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/a-reserve-d-eau/fibre/82030-pot-trio-claire-d26-h14-1.html
81701-73701;1014358;228;20170131;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/a-reserve-d-eau/fibre/81701-pot-claire.html
81701-73700;1014357;228;20170131;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/a-reserve-d-eau/fibre/81701-pot-claire.html
81701-73696;1014326;228;20170131;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/a-reserve-d-eau/fibre/81701-pot-claire.html
69061-69061;1433161;228;20170131;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/cache-pot-simple/contenant-en-metal/69061-seau-en-zinc-corail-et-blanc-2ast.html
69163-69163;1433007;228;20170131;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/cache-pot-simple/contenant-en-metal/69163-pots-zinc-x3-s-plateau-vert-36x10x10cm.html
69046-69046;1433179;228;20170131;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/cache-pot-simple/contenant-en-metal/69046-pots-zinc-x3-s-plateau-corail-36x10x10cm.html
41102-41102;1417453;228;20170131;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/cache-pot-simple/pot-special-orchidee-et-accessoires/41102-pot-orchidee-fuschia.html
82179-73699;1014341;228;20170131;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/cache-pot-simple/pot-special-orchidee-et-accessoires/82179-pot-orchidee-d13-h14-1.html
70556-70556;1394041;228;20170131;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/cache-pot-simple/cache-pot-aimante/70556-plaque-14x70-cm-argent-sans-socle.html
70471-70471;1395521;228;20170131;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/cache-pot-simple/vannerie/70471-panier-rond-jacinthe-clair-d26-x-h21-1.html
70466-70466;1395526;228;20170131;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/cache-pot-simple/vannerie/70466-panier-rond-en-jacinthe-d32-x-h27-1.html
69048-69048;1433176;228;20170131;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/cache-pot-simple/contenant-en-metal/69048-jardiniere-zinc-38x25x18-1.html
82001-73186;1428130;228;20170131;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/cache-pot-simple/cache-pot-aimante/82001-jardiniere-aimantee-kalamitica-12cm.html
68704-68704;1443603;228;20170131;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/cache-pot-simple/porte-plante/68704-cahe-pot-animaux-de-la-jungle-1-1.html
82075-74563;1471900;228;20170131;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/cache-pot-simple/zinc/82075-cache-pot-zinc.html
70477-70477;1395515;228;20170131;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/cache-pot-simple/vannerie/70477-cache-pot-rond-jacinthe-d32-x-h27-1.html
70478-70478;1395514;228;20170131;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/cache-pot-simple/vannerie/70478-cache-pot-rond-jacinthe-d26-x-h21-1.html
81950-72716;1418967;228;20170131;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/cache-pot-simple/ceramique/81950-cache-pot-lisse-d10-5-h9cm.html
70479-70479;1395513;228;20170131;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/cache-pot-simple/vannerie/70479-cache-pot-clair-carre-jacinthe-38x38x32-1.html
70481-70481;1395511;228;20170131;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/cache-pot-simple/vannerie/70481-cache-pot-clair-carre-jacinthe-26x26x21-1.html
70459-70459;1395533;228;20170131;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/cache-pot-simple/vannerie/70459-cache-pot-bambou-rond-d29-x-h31-1.html
70460-70460;1395532;228;20170131;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/cache-pot-simple/vannerie/70460-cache-pot-bambou-rond-d24-x-h25-1.html
70456-70456;1395537;228;20170131;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/cache-pot-simple/vannerie/70456-cache-pot-bambou-rectangulaire-35x35x14-1.html
70463-70463;1395529;228;20170131;https://www.jardiland.com/maison-deco/cache-pot-d-interieur/cache-pot-simple/vannerie/70463-cache-pot-bambou-carre-d26x26-1.html
66804-66804;546142;228;20170131;https://www.jardiland.com/maison-deco/librairie-papeterie/librairie/livre-animal/66804-les-bases-du-terrarium.html
67822-67822;1474187;228;20170131;https://www.jardiland.com/maison-deco/librairie-papeterie/papeterie/autres/67822-labels-papier-pgm-3ass-2colass-assortie.html
68184-68184;1464101;228;20170131;https://www.jardiland.com/maison-deco/librairie-papeterie/librairie/livre-jardin/68184-jardinez-avec-la-lune-2017-1.html
65070-65070;995524;228;20170131;https://www.jardiland.com/maison-deco/librairie-papeterie/papeterie/carte/65070-carte-double-system-cards-3-1.html
67823-67823;1474186;228;20170131;https://www.jardiland.com/maison-deco/librairie-papeterie/papeterie/autres/67823-autocollant-pap-pgm-3ass-2clas-12x26cm.html
68770-68770;1440749;228;20170131;https://www.jardiland.com/maison-deco/librairie-papeterie/librairie/livre-jardin/68770-adopte-une-plante.html
70732-70732;1368243;228;20170131;https://www.jardiland.com/maison-deco/librairie-papeterie/librairie/livre-cuisine-et-vin/70732-500-recettes-express.html
5488-5488;911918;228;20170131;https://www.jardiland.com/maison-deco/cheminee/accessoires-de-cheminee/accessoires/5488-soufflet-en-cuir-et-pin-du-chili-blanc.html
4923-4923;791000;228;20170131;https://www.jardiland.com/maison-deco/cheminee/accessoires-de-cheminee/accessoires/4923-poele-a-marrons.html
4941-4941;855377;228;20170131;https://www.jardiland.com/maison-deco/cheminee/accessoires-de-cheminee/pare-feu/4941-pare-feu-3-volets-feuillage.html
4940-4940;855371;228;20170131;https://www.jardiland.com/maison-deco/cheminee/accessoires-de-cheminee/pare-feu/4940-pare-feu-carre-a-bord-rond-la-64-x-ha-50-cm.html
70837-70837;1355617;228;20170131;https://www.jardiland.com/maison-deco/mobilier-d-interieur/70837-tonnelle-en-metal-finition-poudre.html
70831-70831;1355903;228;20170131;https://www.jardiland.com/maison-deco/mobilier-d-interieur/70831-table-ronde-metal.html
69854-69854;1409904;228;20170131;https://www.jardiland.com/maison-deco/mobilier-d-interieur/69854-table-mosaique-ronde-60x75cm.html
67752-67752;1474266;228;20170131;https://www.jardiland.com/maison-deco/mobilier-d-interieur/67752-etagere-cache-pot-fer-pliable-51x72x120c.html
69855-69855;1409903;228;20170131;https://www.jardiland.com/maison-deco/mobilier-d-interieur/69855-chaise-49x40x92cm.html
81255-72809;1453761;228;20170131;https://www.jardiland.com/maison-deco/mobilier-d-interieur/81255-canape-2-places-p82x-l131-x-h95-1.html
