ID_WEB;ID_JDN;CODEMAG;DATE_ASPI;URLPRODUIT
1003-1003;1338982;40;20170110;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/thee-tisane-et-infusion/1003-tisane-bio-retention-d-eau.html
1007-1007;1338988;40;20170110;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/thee-tisane-et-infusion/1007-tisane-bio-digestion-citron.html
1005-1005;1338984;40;20170110;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/thee-tisane-et-infusion/1005-tisane-bio-detox.html
1964-1964;1338975;40;20170110;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/thee-tisane-et-infusion/1964-tisane-bio-beaute-de-la-peau.html
1805-1805;1338989;40;20170110;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/thee-tisane-et-infusion/1805-tisage-bio-sommeil-jasmin.html
54505-54505;1457490;40;20170110;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/confiserie/54505-sucres-d-orge-x5-1.html
56703-56703;1463874;40;20170110;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/confiserie/56703-sucre-d-orge-canne-50g.html
54730-54730;1401742;40;20170110;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/biscuit/54730-sachet-de-lunettes-a-la-fraise.html
32891-15410;558459;40;20170110;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/confiserie/32891-sac-anis-250-g.html
59669-59669;1465330;40;20170110;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/chocolat/59669-praline-amandes-rouges-mug.html
59667-59667;1465332;40;20170110;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/chocolat/59667-petits-carres-de-chocolat-lait-mug.html
4820-4820;821218;40;20170110;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/biscuit/4820-pain-d-epice-pave-a-l-ancienne.html
58031-58031;1436109;40;20170110;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/biscuit/58031-pain-d-epices-gingembre-orange.html
32888-48993;1443634;40;20170110;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/biscuit/32888-mini-madeleines.html
54729-54729;1401744;40;20170110;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/biscuit/54729-mignardises-fondant-chocolat.html
54519-54519;1456746;40;20170110;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/miel-et-derive/54519-miel-de-lavande-france-vorcio-250g.html
54520-54520;1456745;40;20170110;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/miel-et-derive/54520-miel-de-chataignier-france-v-orcio-250g.html
54518-54518;1456747;40;20170110;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/miel-et-derive/54518-miel-d-oranger.html
54523-54523;1456742;40;20170110;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/miel-et-derive/54523-miel-d-acacia.html
453-453;1235326;40;20170110;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/biscuit/453-meringues-a-la-fraise.html
450-450;1235298;40;20170110;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/biscuit/450-meringues.html
3725-3725;558393;40;20170110;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/confiserie/3725-medaillon-miel.html
32896-12651;1393343;40;20170110;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/confiture/32896-marmelade.html
1393-1393;1294690;40;20170110;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/biscuit/1393-gaufrettes-amusantes-vanille.html
1395-1395;1294694;40;20170110;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/biscuit/1395-gaufrettes-amusantes-noisette.html
1392-1392;1294689;40;20170110;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/biscuit/1392-gaufrettes-amusantes-framboise.html
4823-4823;821392;40;20170110;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/biscuit/4823-galette-fine-pur-beurre-bretonne.html
1876-1876;1319686;40;20170110;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/chocolat/1876-cornet-lait-speculoos.html
58327-58327;1465322;40;20170110;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/chocolat/58327-coffret-de-noel.html
1144-1144;1259019;40;20170110;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/confiserie/1144-bonbons-miel-reglisse-sans-sucre.html
48895-48976;1443631;40;20170110;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/confiserie/48895-bonbons-fourres.html
56811-56811;1427925;40;20170110;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/confiserie/56811-bonbonniere-oursons-guimauve-3-chocolats.html
32892-30629;985674;40;20170110;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/confiserie/32892-boite-graines-d-anis-bio.html
59668-59668;1465331;40;20170110;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-sucree/chocolat/59668-billes-de-cereales-aux-3-chocolats-mug.html
54564-54564;1437158;40;20170110;https://www.jardiland.com/maison-deco/epicerie-fine/epicerie-salee/conserve/54564-pate-du-dimanche.html
4860-4860;657860;40;20170110;https://www.jardiland.com/maison-deco/art-de-la-table/conserves-et-bocaux/accessoires/4860-thermometre-gaine-fer.html
48400-48400;1321381;40;20170110;https://www.jardiland.com/maison-deco/art-de-la-table/conserves-et-bocaux/congelation/48400-sacs-sous-vide-gauffres-20-x-30-x-50-cm.html
4861-4861;657862;40;20170110;https://www.jardiland.com/maison-deco/art-de-la-table/conserves-et-bocaux/bocaux-et-terrines/4861-ressorts-pour-cuiseurs.html
5794-5794;970821;40;20170110;https://www.jardiland.com/maison-deco/art-de-la-table/conserves-et-bocaux/accessoires/5794-pelle-pommes-en-metal.html
4857-4857;657843;40;20170110;https://www.jardiland.com/maison-deco/art-de-la-table/conserves-et-bocaux/accessoires/4857-pain-de-paraffine-alimentaire.html
1174-1174;1262298;40;20170110;https://www.jardiland.com/maison-deco/art-de-la-table/conserves-et-bocaux/bocaux-et-terrines/1174-entonnoir-a-confiture.html
32840-24499;789509;40;20170110;https://www.jardiland.com/maison-deco/art-de-la-table/conserves-et-bocaux/bocaux-et-terrines/32840-bocaux-de-conservation.html
