ID_WEB;ID_JDN;CODEMAG;DATE_ASPI;URLPRODUIT
41531-29172;929247;10;20170127;https://www.jardiland.com/plantes/arbres-et-arbustes-d-ornement/arbres-et-arbustes/laurier-palme/41531-laurier-du-portugal-angustifolia.html
57995-57995;1456168;6;20170127;https://www.jardiland.com/noel/idees-deco-noel-2016/noel-chic/maison-et-decoration/57995-renne-avec-animaux-sur-le-dos.html
33076-14779;1450529;10;20170127;https://www.jardiland.com/plantes/arbres-et-arbustes-d-ornement/arbres-et-arbustes/ceanothe/33076-ceanothus-thyrsiflorus.html
40942-40942;1432755;6;20170127;https://www.jardiland.com/animaux/chien/alimentation-et-friandises/biscuit/40942-cube-de-biscuits-croquant-pour-chien-330-g.html
60060-60060;544298;15;20170127;https://www.jardiland.com/animaux/poisson/entretien-et-soins/produit-pour-plante/60060-sera-florenette-a.html
32910-10424;1347194;40;20170127;https://www.jardiland.com/maison-deco/objets-de-decoration/bougies-et-senteurs/bougie-non-parfumee/32910-bougie-rustique-o7-cm.html
46406-46406;564551;6;20170127;https://www.jardiland.com/plantes/graines-et-gazon/graines-potageres-et-aromatiques/radis-navets-carottes-et-autres-racines/46406-navet-de-croissy.html
34650-51754;1469573;15;20170127;https://www.jardiland.com/plantes/arbres-et-arbustes-d-ornement/plantes-mediterraneennes/autres-plantes-mediterraneennes/34650-lilas-des-indes-jeanne-desmartisr.html
32910-10422;1347192;40;20170127;https://www.jardiland.com/maison-deco/objets-de-decoration/bougies-et-senteurs/bougie-non-parfumee/32910-bougie-rustique-o7-cm.html
32971-29776;955118;49;20170127;https://www.jardiland.com/plantes/arbres-et-arbustes-d-ornement/arbres-et-arbustes/autres-arbres-et-arbustes/32971-angelique-du-japon.html
42224-42224;539360;58;20170127;https://www.jardiland.com/animaux/rongeurs-et-petits-mammiferes/hygiene-et-soins/litiere/42224-copeaux-gros-volume.html
33376-48542;1427754;6;20170127;https://www.jardiland.com/plantes/potager-et-verger/plantes-aromatiques/lavande/33376-lavande-little-lady.html
33231-13716;1408939;15;20170127;https://www.jardiland.com/plantes/arbres-et-arbustes-d-ornement/arbres-et-arbustes/forsythia/33231-forsythia-maree-d-orr-courtasol-pbr.html
32971-8197;1279689;49;20170127;https://www.jardiland.com/plantes/arbres-et-arbustes-d-ornement/arbres-et-arbustes/autres-arbres-et-arbustes/32971-angelique-du-japon.html
5064-5064;701419;10;20170127;https://www.jardiland.com/animaux/oiseau/cages-volieres-et-accessoires/cage/5064-cage-a-oiseaux-family-6-1.html
40842-40842;1313637;58;20170127;https://www.jardiland.com/amenagement-du-jardin/loisirs-plein-air/jeux-de-plein-air/40842-petite-roulotte-lys.html
2964-2964;1403367;61;20170127;https://www.jardiland.com/amenagement-du-jardin/pots-bacs-jardinieres-et-supports/en-terre-cuite/2964-pot-en-terre-cuite-roots-deroma-o-31-1.html
58493-58493;1454335;40;20170127;https://www.jardiland.com/noel/idees-deco-noel-2016/noel-chic/boule-de-noel/58493-boule-plate-marron-en-verre-motif-etoile.html
45965-44757;1286112;65;20170127;https://www.jardiland.com/plantes/arbres-et-arbustes-d-ornement/arbres-et-arbustes/prunus/45965-prunus-spinosa.html
42018-18024;593182;6;20170127;https://www.jardiland.com/plantes/potager-et-verger/fruitiers/nashi/42018-nashi-shinseiki.html
41632-53967;607391;63;20170127;https://www.jardiland.com/plantes/arbres-et-arbustes-d-ornement/rosiers/rosiers-buissons/41632-rosier-pat-austinr-ausmum-pbr-anglais.html
5215-5215;956437;15;20170127;https://www.jardiland.com/animaux/oiseau/alimentation-et-friandises/alimentation-quotidienne/5215-nutriment-pour-oisillon-nutribird-a19-800-g.html
1940-1940;1336293;58;20170127;https://www.jardiland.com/animaux/poisson/materiel-chauffage-filtres-et-pompes/nettoyage-aquarium/1940-cloche-de-nettoyage-extensible.html
61026-60296;1398809;61;20170127;https://www.jardiland.com/plantes/arbres-et-arbustes-d-ornement/rosiers/rosiers-buissons/61026-rosier-bobinor.html
58368-58368;1455229;40;20170127;https://www.jardiland.com/noel/idees-deco-noel-2016/ambiance-tradition/guirlande-et-branchage-de-noel/58368-pique-pomme-de-pin-h-15-cm.html
41632-19538;607392;63;20170127;https://www.jardiland.com/plantes/arbres-et-arbustes-d-ornement/rosiers/rosiers-buissons/41632-rosier-pat-austinr-ausmum-pbr-anglais.html
58799-58799;667989;65;20170127;https://www.jardiland.com/plantes/graines-et-gazon/graines-de-fleurs/fleurs-annuelles/58799-oeillet-russian-skies.html
34056-51975;586769;6;20170127;https://www.jardiland.com/plantes/arbres-et-arbustes-d-ornement/plantes-de-terre-de-bruyere/autres-plantes-de-terre-de-bruyere/34056-daboecia-cantabrica.html
33506-27940;908404;15;20170127;https://www.jardiland.com/plantes/arbres-et-arbustes-d-ornement/arbres-et-arbustes/perovskia/33506-perovskia-atriplicifolia-little-spire-pbr.html
499-499;1243579;61;20170127;https://www.jardiland.com/animaux/chien/colliers-laisses-et-vetements/manteau-pour-chien/499-patte-d-extension-pour-manteaux.html
35007-25291;815039;58;20170127;https://www.jardiland.com/plantes/arbres-et-arbustes-d-ornement/rosiers/rosiers-tiges-pleureurs/35007-rosier-albertine-ancien.html
57928-57928;1456205;11;20170127;https://www.jardiland.com/noel/idees-deco-noel-2016/ambiance-nature/suspension/57928-chouette-en-vol-a-suspendre.html
32905-28142;897223;40;20170127;https://www.jardiland.com/maison-deco/objets-de-decoration/bougies-et-senteurs/bougie-non-parfumee/32905-bougie-trempee-o8-cm.html
33157-13639;1420877;10;20170127;https://www.jardiland.com/plantes/arbres-et-arbustes-d-ornement/arbres-et-arbustes/cytise/33157-cytise-commun.html
36109-27788;880892;15;20170127;https://www.jardiland.com/plantes/plantes-d-interieur/plantes-vertes/senecio/36109-senecio-herreianus-mini-plante.html
50902-41358;1402300;49;20170127;https://www.jardiland.com/animaux/chien/niches-couchage-et-transport/tapis/50902-tapis-de-couchage-canvas.html
